ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.011311495,0.000162024,0.010580758
0.206734021,0.113150742,0.193378731
0.470618309,0.249018752,0.440215747
0.643840738,0.426835023,0.602247778
0.745167579,0.512009605,0.697028772
0.798906857,0.677282129,0.747296422
0.799399551,0.668921466,0.747757287
0.739572666,0.660966095,0.691795298
0.606728009,0.465736539,0.567532581
0.435716484,0.221420463,0.407568626
0.182360392,0.134342344,0.17057967
0.0054803,0.00230846,0.005126266
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.007997588,0.001622729,0.007480933
0.174691809,0.165380506,0.163406488
0.379473948,0.359032699,0.354959432
0.541068171,0.528014985,0.506114455
0.64219166,0.621577232,0.600705233
0.716527208,0.6733186,0.670238607
0.709566423,0.681372541,0.663727498
0.663061093,0.648074599,0.620226473
0.528542929,0.522522827,0.49439836
0.346076179,0.352073781,0.323719202
0.157705239,0.177083887,0.147517273
0.004542253,0.002367683,0.004248817
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001664162,0.004170564,0.001556655
0.056029907,0.205519264,0.052410301
0.113543207,0.447036725,0.106208166
0.162034409,0.61713894,0.151566773
0.192745017,0.491534475,0.180293435
0.208613418,0.16471602,0.195136717
0.209619691,0.057573672,0.196077983
0.193474421,0.227856171,0.180975718
0.154217654,0.262675874,0.144254991
0.102226484,0.134184893,0.095622518
0.047944535,0.013796979,0.044847255
0.000743889,0.001008882,0.000695833
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002548186,0.001217282,0.00238357
0.068987756,0.106442655,0.064531056
0.139223775,0.21232469,0.130229736
0.193607868,0.314817553,0.181100544
0.225556478,0.372955777,0.210985233
0.232192962,0.425989309,0.217192991
0.224162772,0.431325747,0.209681561
0.215022474,0.399594445,0.201131739
0.179237821,0.270214417,0.167658822
